Rank,Player,CMP,PassATT,PCT,PassYDS,PassY/A,PassTD,INT,SACKS,RushATT,RushYDS,RushTD,FL,G,FPTS,FPTS/G,ROST,Season,Week
1,Deshaun Watson (CLE),16,20,80,239,12,5,0,0,1,14,0,0,1,31,31,89.9%,2018,8
2,Cam Newton (FA),21,29,72.4,219,7.6,2,0,0,10,52,1,0,1,28,28,9.4%,2018,8
3,Derek Carr (LV),21,28,75,244,8.7,3,0,0,2,0,1,0,1,27.8,27.8,89.5%,2018,8
4,Jared Goff (DET),19,35,54.3,295,8.4,3,0,5,5,7,0,0,1,26.5,26.5,6.8%,2018,8
5,Patrick Mahomes II (KC),24,34,70.6,303,8.9,4,1,2,2,-1,0,0,1,26,26,99.8%,2018,8
6,Carson Wentz (WAS),21,30,70,286,9.5,3,1,4,6,28,0,1,1,23.6,23.6,20.1%,2018,8
7,Andrew Luck (FA),22,31,71,239,7.7,3,0,0,2,-2,0,0,1,23.4,23.4,2.2%,2018,8
8,Russell Wilson (DEN),14,17,82.4,248,14.6,3,0,2,2,15,0,0,1,23.4,23.4,93.5%,2018,8
9,Mitchell Trubisky (PIT),16,29,55.2,220,7.6,2,0,2,6,51,0,0,1,21.9,21.9,4.5%,2018,8
10,Kirk Cousins (MIN),31,41,75.6,359,8.8,2,1,4,2,3,0,0,1,20.7,20.7,78.4%,2018,8
11,Andy Dalton (NO),21,34,61.8,280,8.2,2,0,2,3,10,0,0,1,20.2,20.2,0.4%,2018,8
12,Blake Bortles (FA),24,41,58.5,286,7,1,0,4,8,43,0,0,1,19.7,19.7,0.0%,2018,8
13,Ryan Fitzpatrick (FA),11,15,73.3,194,12.9,2,0,1,1,18,0,0,1,19.6,19.6,0.6%,2018,8
14,Josh Rosen (FA),23,40,57.5,252,6.3,2,1,3,2,12,0,0,1,19.3,19.3,0.1%,2018,8
15,Matthew Stafford (LAR),27,40,67.5,310,7.8,2,1,3,1,6,0,1,1,17,17,93.8%,2018,8
16,Ben Roethlisberger (FA),24,36,66.7,257,7.1,2,1,1,2,6,0,0,1,16.9,16.9,23.8%,2018,8
17,Aaron Rodgers (GB),18,30,60,286,9.5,1,0,3,1,5,0,0,1,15.9,15.9,94.9%,2018,8
18,Case Keenum (BUF),23,34,67.6,262,7.7,2,1,5,1,9,0,1,1,15.4,15.4,0.3%,2018,8
19,Baker Mayfield (CLE),22,36,61.1,180,5,2,1,2,1,9,0,0,1,14.1,14.1,1.4%,2018,8
20,Tom Brady (TB),29,45,64.4,324,7.2,0,0,2,1,8,0,0,1,13.8,13.8,97.3%,2018,8
21,Eli Manning (FA),30,47,63.8,316,6.7,1,2,7,0,0,0,0,1,12.6,12.6,2.3%,2018,8
22,C.J. Beathard (JAC),14,28,50,190,6.8,1,0,4,5,9,0,0,1,12.5,12.5,0.1%,2018,8
23,Alex Smith (FA),20,32,62.5,178,5.6,1,0,0,3,13,0,0,1,12.4,12.4,5.0%,2018,8
24,Sam Darnold (CAR),14,29,48.3,153,5.3,1,0,1,5,22,0,0,1,12.3,12.3,1.2%,2018,8
25,Joe Flacco (NYJ),22,39,56.4,192,4.9,1,2,2,2,14,0,0,1,9.1,9.1,0.6%,2018,8
26,Jameis Winston (NO),18,35,51.4,276,7.9,1,4,5,3,18,0,0,1,8.8,8.8,32.6%,2018,8
27,Lamar Jackson (BAL),4,5,80,46,9.2,1,0,0,3,26,0,0,1,8.4,8.4,99.0%,2018,8
28,Brock Osweiler (FA),21,37,56.8,241,6.5,0,1,2,0,0,0,0,1,7.6,7.6,0.0%,2018,8
29,Derek Anderson (FA),22,39,56.4,290,7.4,0,1,3,1,-1,0,1,1,7.5,7.5,0.0%,2018,8
30,Drew Brees (FA),18,23,78.3,120,5.2,1,1,0,0,0,0,0,1,6.8,6.8,35.7%,2018,8
31,Taysom Hill (NO),1,1,100,44,44,0,0,0,3,-2,0,0,1,3.1,3.1,2.7%,2018,8
32,Nathan Peterman (CHI),2,2,100,23,11.5,0,0,0,0,0,0,0,1,0.9,0.9,0.1%,2018,8
33,Taylor Heinicke (WAS),1,1,100,13,13,0,0,0,2,-2,0,0,1,0.3,0.3,0.8%,2018,8
109,Joe Webb III (FA),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2018,8
136,Teddy Bridgewater (MIA),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0%,2018,8
140,Brandon Weeden (FA),0,0,0,0,0,0,0,0,1,-1,0,0,1,-0.1,-0.1,0.0%,2018,8
141,Joshua Dobbs (CLE),0,0,0,0,0,0,0,0,1,-1,0,0,1,-0.1,-0.1,0.1%,2018,8
142,Brian Hoyer (NE),0,0,0,0,0,0,0,0,2,-2,0,0,1,-0.2,-0.2,0.1%,2018,8
