Rank,Player,REC,TGT,RecYDS,Y/R,LG,20+,RecTD,ATT,RushYDS,RushTD,FL,G,FPTS,FPTS/G,ROST,Season,Week
1,Zach Ertz (ARI),9,13,91,10.1,30,2,2,0,0,0,0,1,30.1,30.1,92.6%,2019,14
2,Noah Fant (SEA),4,4,113,28.3,48,3,1,0,0,0,0,1,21.3,21.3,86.3%,2019,14
3,Jared Cook (FA),2,2,64,32,38,2,2,0,0,0,0,1,20.4,20.4,0.9%,2019,14
4,George Kittle (SF),6,8,67,11.2,39,2,1,0,0,0,0,1,18.7,18.7,99.3%,2019,14
5,Tyler Higbee (LAR),7,11,116,16.6,33,3,0,0,0,0,0,1,18.6,18.6,61.6%,2019,14
6,Travis Kelce (KC),7,9,66,9.4,20,1,0,1,4,1,1,1,18,18,99.9%,2019,14
7,Ian Thomas (CAR),5,10,57,11.4,19,0,1,0,0,0,0,1,16.7,16.7,0.2%,2019,14
8,Hayden Hurst (CIN),3,3,73,24.3,61,1,1,0,0,0,0,1,16.3,16.3,6.9%,2019,14
9,Cameron Brate (TB),4,4,30,7.5,13,0,1,0,0,0,0,1,13,13,1.9%,2019,14
10,Nick O'Leary (FA),4,5,30,7.5,12,0,1,0,0,0,0,1,13,13,0.0%,2019,14
11,Hunter Henry (NE),2,4,39,19.5,30,1,1,0,0,0,0,1,11.9,11.9,88.6%,2019,14
12,Jonnu Smith (NE),3,4,29,9.7,17,0,1,0,0,0,0,1,11.9,11.9,1.7%,2019,14
13,O.J. Howard (BUF),4,5,73,18.3,33,2,0,0,0,0,0,1,11.3,11.3,3.6%,2019,14
14,Darren Waller (LV),6,6,72,12,25,1,0,0,0,0,1,1,11.2,11.2,98.4%,2019,14
15,Blake Jarwin (FA),6,7,50,8.3,12,0,0,0,0,0,0,1,11,11,2.1%,2019,14
16,Foster Moreau (LV),3,3,14,4.7,7,0,1,0,0,0,0,1,10.4,10.4,0.9%,2019,14
17,Nick Boyle (BAL),2,3,10,5,7,0,1,0,0,0,0,1,9,9,0.2%,2019,14
18,Jordan Akins (NYG),4,9,49,12.3,15,0,0,0,0,0,0,1,8.9,8.9,0.3%,2019,14
19,Tyler Eifert (FA),4,4,49,12.3,17,0,0,0,0,0,0,1,8.9,8.9,0.0%,2019,14
20,Jason Witten (FA),5,7,37,7.4,14,0,0,0,0,0,0,1,8.7,8.7,0.1%,2019,14
21,Joshua Perkins (FA),5,5,37,7.4,13,0,0,0,0,0,0,1,8.7,8.7,0.0%,2019,14
22,J.P. Holtz (NO),3,3,56,18.7,30,1,0,0,0,0,0,1,8.6,8.6,0.0%,2019,14
23,Josh Hill (FA),2,3,4,2,3,0,1,0,0,0,0,1,8.4,8.4,0.0%,2019,14
24,Virgil Green (FA),1,1,14,14,14,0,1,0,0,0,0,1,8.4,8.4,0.0%,2019,14
25,Robert Tonyan (GB),1,1,12,12,12,0,1,0,0,0,0,1,8.2,8.2,46.6%,2019,14
26,Jimmy Graham (FA),3,5,49,16.3,25,2,0,0,0,0,0,1,7.9,7.9,0.6%,2019,14
27,Jeff Heuerman (FA),1,1,8,8,8,0,1,0,0,0,0,1,7.8,7.8,0.0%,2019,14
28,Jesper Horsted (CHI),4,4,36,9,14,0,0,0,0,0,0,1,7.6,7.6,0.1%,2019,14
29,Charles Clay (FA),1,1,5,5,5,0,1,0,0,0,0,1,7.5,7.5,0.0%,2019,14
30,Jacob Hollister (LV),4,6,34,8.5,19,0,0,0,0,0,0,1,7.4,7.4,0.0%,2019,14
31,Dallas Goedert (PHI),3,6,41,13.7,28,1,0,0,0,0,0,1,7.1,7.1,92.9%,2019,14
32,Austin Hooper (TEN),2,6,32,16,18,0,0,0,0,0,0,1,5.2,5.2,11.1%,2019,14
33,MyCole Pruitt (FA),1,1,42,42,42,1,0,0,0,0,0,1,5.2,5.2,0.0%,2019,14
34,Irv Smith Jr. (MIN),3,4,21,7,13,0,0,0,0,0,0,1,5.1,5.1,62.0%,2019,14
35,Anthony Firkser (ATL),1,1,39,39,39,1,0,0,0,0,0,1,4.9,4.9,0.7%,2019,14
36,Jack Doyle (FA),2,6,27,13.5,18,0,0,0,0,0,0,1,4.7,4.7,2.2%,2019,14
37,Dawson Knox (BUF),1,4,37,37,37,1,0,0,0,0,0,1,4.7,4.7,88.8%,2019,14
38,Tyler Conklin (NYJ),3,3,13,4.3,11,0,0,0,0,0,0,1,4.3,4.3,2.1%,2019,14
39,Logan Thomas (WAS),2,4,21,10.5,11,0,0,0,0,0,0,1,4.1,4.1,63.2%,2019,14
40,Andrew Beck (DEN),1,1,29,29,29,1,0,0,0,0,0,1,3.9,3.9,0.1%,2019,14
41,Matt LaCosse (FA),2,4,14,7,8,0,0,0,0,0,0,1,3.4,3.4,0.0%,2019,14
42,Jesse James (FA),1,2,23,23,23,1,0,0,0,0,0,1,3.3,3.3,0.0%,2019,14
43,Ricky Seals-Jones (NYG),1,1,22,22,22,1,0,0,0,0,0,1,3.2,3.2,8.9%,2019,14
44,Kyle Rudolph (FA),2,2,11,5.5,8,0,0,0,0,0,0,1,3.1,3.1,0.1%,2019,14
45,Kaden Smith (FA),2,5,9,4.5,7,0,0,0,0,0,0,1,2.9,2.9,0.1%,2019,14
46,Mark Andrews (BAL),1,3,14,14,14,0,0,0,0,0,0,1,2.4,2.4,99.8%,2019,14
47,Darren Fells (FA),2,4,2,1,2,0,0,0,0,0,0,1,2.2,2.2,0.0%,2019,14
48,Chris Manhertz (JAC),1,1,11,11,11,0,0,0,0,0,0,1,2.1,2.1,0.1%,2019,14
49,Ryan Griffin (CHI),1,1,8,8,8,0,0,0,0,0,0,1,1.8,1.8,0.1%,2019,14
50,Mo Alie-Cox (IND),1,1,8,8,8,0,0,0,0,0,0,1,1.8,1.8,1.8%,2019,14
51,Daniel Brown (NYJ),1,2,7,7,7,0,0,0,0,0,0,1,1.7,1.7,0.0%,2019,14
52,Benjamin Watson (FA),1,3,7,7,7,0,0,0,0,0,0,1,1.7,1.7,2.8%,2019,14
53,Mike Gesicki (MIA),1,5,6,6,6,0,0,0,0,0,0,1,1.6,1.6,89.3%,2019,14
54,Marcedes Lewis (GB),1,1,5,5,5,0,0,0,0,0,0,1,1.5,1.5,0.6%,2019,14
55,David Njoku (CLE),1,3,4,4,4,0,0,0,0,0,0,1,1.4,1.4,52.7%,2019,14
56,C.J. Uzomah (NYJ),1,2,4,4,4,0,0,0,0,0,0,1,1.4,1.4,5.1%,2019,14
57,Isaac Nauta (FA),1,1,3,3,3,0,0,0,0,0,0,1,1.3,1.3,0.0%,2019,14
58,Vance McDonald (FA),1,1,3,3,3,0,0,0,0,0,0,1,1.3,1.3,0.0%,2019,14
59,Troy Fumagalli (NE),1,1,3,3,3,0,0,0,0,0,0,1,1.3,1.3,0.0%,2019,14
60,Durham Smythe (MIA),1,1,2,2,2,0,0,0,0,0,0,1,1.2,1.2,0.1%,2019,14
61,Ross Travis (FA),1,1,1,1,1,0,0,0,0,0,0,1,1.1,1.1,0.0%,2019,14
62,Clive Walford (FA),0,0,0,0,0,0,0,0,4,0,0,1,0.4,0.4,0.0%,2019,14
96,Tanner Hudson (SF),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2019,14
98,Ross Dwelley (SF),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1%,2019,14
101,Jaeden Graham (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2019,14
103,J.J. Arcega-Whiteside (PHI),2,3,29,14.5,22,1,0,0,0,0,0,1,0,0,0.1%,2019,14
104,Dalton Schultz (DAL),0,0,0,0,0,0,0,0,0,0,0,1,0,0,96.2%,2019,14
105,Jordan Thomas (DET),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2019,14
111,Matthew Orzech (LAR),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2019,14
114,Charles Jones (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2019,14
120,Jace Sternberger (PIT),0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.1%,2019,14
123,Kendall Blanton (LAR),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.2%,2019,14
126,Trevon Wesco (NYJ),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1%,2019,14
131,Stephen Carlson (FA),0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2019,14
132,Hale Hentges (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2019,14
207,Lee Smith (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2019,14
211,Lance Kendricks (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2019,14
212,Luke Stocker (FA),0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2019,14
214,Derek Carrier (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2019,14
216,Garrett Celek (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2019,14
223,Clark Harris (CIN),0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0%,2019,14
228,Zach Wood (NO),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2019,14
229,Tyler Ott (SEA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2019,14
230,Beau Brinkley (ATL),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.2%,2019,14
231,James Winchester (KC),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2019,14
232,Patrick Scales (CHI),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2019,14
235,Nick Vannett (NO),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1%,2019,14
238,Johnny Mundt (MIN),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1%,2019,14
239,Tyrone Swoopes (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2019,14
240,Taysom Hill (NO),1,1,12,12,12,0,0,5,13,0,0,1,0,0,2.7%,2019,14
