Rank,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST,Season,Week
5,Aldrick Rosas (FA),4,5,80,50,0,1,2,0,1,1,1,1,15,15,0.0%,2020,4
17,Aldrick Rosas (FA),2,3,66.7,54,0,1,0,0,1,1,1,1,9,9,0.0%,2020,12
20,Aldrick Rosas (FA),1,2,50,53,0,0,0,0,1,1,1,1,6,6,0.0%,2020,14
22,Aldrick Rosas (FA),1,1,100,26,0,1,0,0,0,2,2,1,5,5,0.0%,2020,16
30,Aldrick Rosas (FA),0,0,0,0,0,0,0,0,0,2,2,1,2,2,0.0%,2020,15
29,Aldrick Rosas (FA),0,0,0,0,0,0,0,0,0,2,2,1,2,2,0.0%,2020,17
3,Austin Seibert (FA),3,4,75,48,0,0,2,1,0,4,4,1,14,14,0.2%,2020,16
13,Austin Seibert (FA),2,3,66.7,34,0,0,2,0,0,3,3,1,9,9,0.2%,2020,15
27,Austin Seibert (FA),1,1,100,38,0,0,1,0,0,0,0,1,3,3,0.2%,2020,17
31,Austin Seibert (FA),0,0,0,0,0,0,0,0,0,1,1,1,1,1,0.2%,2020,14
32,Austin Seibert (FA),0,1,0,0,0,0,0,0,0,0,1,1,0,0,0.2%,2020,1
1,Brandon McManus (DEN),6,6,100,54,0,2,0,2,2,0,0,1,24,24,34.8%,2020,6
2,Brandon McManus (DEN),3,3,100,54,0,0,0,1,2,4,4,1,18,18,34.8%,2020,4
4,Brandon McManus (DEN),3,4,75,52,0,0,1,0,2,1,1,1,14,14,34.8%,2020,16
9,Brandon McManus (DEN),2,2,100,43,0,0,0,2,0,3,3,1,11,11,34.8%,2020,9
7,Brandon McManus (DEN),3,6,50,37,0,2,1,0,0,2,2,1,11,11,34.8%,2020,17
13,Brandon McManus (DEN),2,2,100,47,0,1,0,1,0,2,2,1,9,9,34.8%,2020,11
15,Brandon McManus (DEN),2,3,66.7,49,0,1,0,1,0,1,1,1,8,8,34.8%,2020,2
16,Brandon McManus (DEN),2,2,100,50,0,0,1,0,1,0,0,1,8,8,34.8%,2020,10
14,Brandon McManus (DEN),1,1,100,35,0,0,1,0,0,4,4,1,7,7,34.8%,2020,8
22,Brandon McManus (DEN),1,1,100,56,0,0,0,0,1,1,1,1,6,6,34.8%,2020,3
17,Brandon McManus (DEN),1,2,50,53,0,0,0,0,1,1,1,1,6,6,34.8%,2020,13
19,Brandon McManus (DEN),1,1,100,43,0,0,0,1,0,1,2,1,5,5,34.8%,2020,7
24,Brandon McManus (DEN),1,1,100,58,0,0,0,0,1,0,0,1,5,5,34.8%,2020,12
31,Brandon McManus (DEN),0,0,0,0,0,0,0,0,0,2,2,1,2,2,34.8%,2020,1
26,Brandon McManus (DEN),0,0,0,0,0,0,0,0,0,2,4,1,2,2,34.8%,2020,14
31,Brandon Wright (FA),0,0,0,0,0,0,0,0,0,1,2,1,1,1,0.0%,2020,3
1,Cairo Santos (CHI),4,4,100,48,0,0,1,3,0,3,3,1,18,18,12.0%,2020,15
3,Cairo Santos (CHI),3,3,100,51,0,1,0,1,1,2,2,1,14,14,12.0%,2020,8
4,Cairo Santos (CHI),3,3,100,55,0,0,2,0,1,2,2,1,13,13,12.0%,2020,6
7,Cairo Santos (CHI),2,2,100,40,0,1,0,1,0,5,5,1,12,12,12.0%,2020,16
6,Cairo Santos (CHI),2,2,100,39,0,0,2,0,0,4,4,1,10,10,12.0%,2020,14
8,Cairo Santos (CHI),3,3,100,30,0,2,1,0,0,1,1,1,10,10,12.0%,2020,17
17,Cairo Santos (CHI),2,2,100,35,0,1,1,0,0,3,3,1,9,9,12.0%,2020,1
14,Cairo Santos (CHI),2,2,100,47,0,0,1,1,0,2,2,1,9,9,12.0%,2020,5
15,Cairo Santos (CHI),2,2,100,42,0,1,0,1,0,1,1,1,8,8,12.0%,2020,10
13,Cairo Santos (CHI),1,1,100,45,0,0,0,1,0,3,4,1,7,7,12.0%,2020,13
23,Cairo Santos (CHI),1,2,50,35,0,0,1,0,0,3,3,1,6,6,12.0%,2020,3
29,Cairo Santos (CHI),1,2,50,34,0,0,1,0,0,2,2,1,5,5,12.0%,2020,2
20,Cairo Santos (CHI),1,1,100,42,0,0,0,1,0,1,1,1,5,5,12.0%,2020,7
25,Cairo Santos (CHI),1,1,100,22,0,1,0,0,0,2,2,1,5,5,12.0%,2020,9
27,Cairo Santos (CHI),1,1,100,27,0,1,0,0,0,2,2,1,5,5,12.0%,2020,12
27,Cairo Santos (CHI),1,1,100,27,0,1,0,0,0,0,0,1,3,3,12.0%,2020,4
10,Chase McLaughlin (IND),2,2,100,52,0,0,1,0,1,2,2,1,10,10,7.7%,2020,10
25,Chase McLaughlin (IND),1,1,100,41,0,0,0,1,0,0,0,1,4,4,7.7%,2020,11
22,Chase McLaughlin (IND),1,2,50,22,0,1,0,0,0,1,2,1,4,4,7.7%,2020,13
30,Chase McLaughlin (IND),0,0,0,0,0,0,0,0,0,2,2,1,2,2,7.7%,2020,17
7,Chris Boswell (PIT),3,3,100,45,0,0,1,2,0,3,3,1,14,14,16.2%,2020,10
5,Chris Boswell (PIT),2,3,66.7,47,0,0,0,2,0,3,3,1,11,11,16.2%,2020,11
12,Chris Boswell (PIT),2,2,100,41,0,0,1,1,0,2,3,1,9,9,16.2%,2020,1
15,Chris Boswell (PIT),1,1,100,41,0,0,0,1,0,5,5,1,9,9,16.2%,2020,5
9,Chris Boswell (PIT),2,2,100,38,0,0,2,0,0,3,3,1,9,9,16.2%,2020,7
15,Chris Boswell (PIT),2,2,100,59,0,0,0,1,1,0,2,1,9,9,16.2%,2020,9
16,Chris Boswell (PIT),2,2,100,33,0,1,1,0,0,2,2,1,8,8,16.2%,2020,3
12,Chris Boswell (PIT),1,1,100,35,0,0,1,0,0,5,5,1,8,8,16.2%,2020,6
19,Chris Boswell (PIT),2,2,100,27,0,2,0,0,0,1,2,1,7,7,16.2%,2020,12
25,Chris Boswell (PIT),1,1,100,21,0,1,0,0,0,3,3,1,6,6,16.2%,2020,2
25,Chris Boswell (PIT),1,1,100,25,0,1,0,0,0,2,2,1,5,5,16.2%,2020,15
20,Chris Boswell (PIT),0,0,0,0,0,0,0,0,0,4,4,1,4,4,16.2%,2020,8
29,Chris Boswell (PIT),0,0,0,0,0,0,0,0,0,1,1,1,1,1,16.2%,2020,14
6,Cody Parkey (FA),3,3,100,46,0,1,1,1,0,3,3,1,13,13,0.0%,2020,5
9,Cody Parkey (FA),2,2,100,44,0,0,1,1,0,5,5,1,12,12,0.0%,2020,4
4,Cody Parkey (FA),2,2,100,43,0,1,0,1,0,5,5,1,12,12,0.0%,2020,13
12,Cody Parkey (FA),2,2,100,42,0,0,1,1,0,4,4,1,11,11,0.0%,2020,3
12,Cody Parkey (FA),2,2,100,45,0,1,0,1,0,3,3,1,10,10,0.0%,2020,12
15,Cody Parkey (FA),2,3,66.7,46,0,1,0,1,0,2,2,1,9,9,0.0%,2020,11
15,Cody Parkey (FA),1,1,100,43,0,0,0,1,0,4,5,1,8,8,0.0%,2020,7
12,Cody Parkey (FA),2,3,66.7,41,0,0,1,1,0,0,0,1,7,7,0.0%,2020,8
22,Cody Parkey (FA),1,1,100,23,0,1,0,0,0,3,3,1,6,6,0.0%,2020,17
28,Cody Parkey (FA),0,0,0,0,0,0,0,0,0,5,5,1,5,5,0.0%,2020,2
21,Cody Parkey (FA),1,1,100,41,0,0,0,1,0,1,1,1,5,5,0.0%,2020,10
19,Cody Parkey (FA),1,1,100,44,0,0,0,1,0,1,2,1,5,5,0.0%,2020,16
22,Cody Parkey (FA),0,1,0,0,0,0,0,0,0,4,5,1,4,4,0.0%,2020,14
28,Cody Parkey (FA),0,0,0,0,0,0,0,0,0,2,3,1,2,2,0.0%,2020,15
25,Cody Parkey (FA),0,0,0,0,0,0,0,0,0,1,1,1,1,1,0.0%,2020,6
11,Dan Bailey (FA),2,2,100,52,0,0,0,1,1,2,2,1,11,11,0.0%,2020,5
11,Dan Bailey (FA),2,2,100,53,0,1,0,0,1,2,2,1,10,10,0.0%,2020,12
12,Dan Bailey (FA),2,2,100,24,0,2,0,0,0,3,3,1,9,9,0.0%,2020,15
14,Dan Bailey (FA),2,2,100,43,0,0,1,1,0,1,1,1,8,8,0.0%,2020,10
12,Dan Bailey (FA),2,3,66.7,48,0,1,0,1,0,1,3,1,8,8,0.0%,2020,13
19,Dan Bailey (FA),1,2,50,41,0,0,0,1,0,3,3,1,7,7,0.0%,2020,3
17,Dan Bailey (FA),1,2,50,31,0,0,1,0,0,4,4,1,7,7,0.0%,2020,4
18,Dan Bailey (FA),1,2,50,23,0,1,0,0,0,4,5,1,7,7,0.0%,2020,17
25,Dan Bailey (FA),1,1,100,35,0,0,1,0,0,1,1,1,4,4,0.0%,2020,1
22,Dan Bailey (FA),0,0,0,0,0,0,0,0,0,4,4,1,4,4,0.0%,2020,8
27,Dan Bailey (FA),0,0,0,0,0,0,0,0,0,4,5,1,4,4,0.0%,2020,9
